Treatment,Test,Species,Canker.Area
University Park,Active,White,3063.052837
University Park Control,Active,White,2945.243113
University Park Control,Active,White,285.8849315
University Park Control,Active,White,2591.813939
University Park Control,Active,White,
University Park Control,Active,White,2356.19449
University Park Control,Active,White,2709.623664
University Park Control,Active,White,
University Park Control,Active,White,
Erie,Active,Beech,316.5154598
Erie,Active,Beech,172.7875959
Erie,Active,Beech,180.6415776
Erie,Active,Beech,348.7167845
Erie,Active,Beech,214.4136986
Erie,Active,Beech,84.82300165
Erie,Active,Beech,412.3340358
Erie,Active,Beech,254.4690049
Erie Control,Active,Beech,100.5309649
Erie Control,Active,Beech,81.68140899
Erie Control,Active,Beech,148.4402529
Erie Control,Active,Beech,157.0796327
Erie Control,Active,Beech,204.2035225
Erie Control,Active,Beech,155.5088364
Erie Control,Active,Beech,157.0796327
Erie Control,Active,Beech,196.3495408
Maryland,Active,Beech,516.7919915
Maryland,Active,Beech,306.3052837
Maryland,Active,Beech,1138.827337
Maryland,Active,Beech,149.225651
Maryland,Active,Beech,600.829595
Maryland,Active,Beech,106.8141502
Maryland,Active,Beech,314.1592654
Maryland,Active,Beech,380.1327111
Maryland Control,Active,Beech,75.39822369
Maryland Control,Active,Beech,75.39822369
Maryland Control,Active,Beech,28.27433388
Maryland Control,Active,Beech,307.8760801
Maryland Control,Active,Beech,270.9623664
Maryland Control,Active,Beech,247.4004215
Maryland Control,Active,Beech,181.4269757
Maryland Control,Active,Beech,141.3716694
University Park,Active,Beech,104.4579557
University Park,Active,Beech,188.4955592
University Park,Active,Beech,417.8318229
University Park,Active,Beech,477.5220833
University Park,Active,Beech,741.4158662
University Park,Active,Beech,141.3716694
University Park,Active,Beech,204.2035225
University Park,Active,Beech,540.3539364
University Park Control,Active,Beech,2945.243113
University Park Control,Active,Beech,38.48451001
University Park Control,Active,Beech,149.225651
University Park Control,Active,Beech,
University Park Control,Active,Beech,603.1857895
University Park Control,Active,Beech,628.3185307
University Park Control,Active,Beech,459.4579256
University Park Control,Active,Beech,791.6813487
Erie,Active,American,47.1238898
Erie,Active,American,895.3539063
Erie,Active,American,325.1548396
Erie,Active,American,722.5663103
Erie,Active,American,708.4291434
Erie,Active,American,1319.468915
Erie,Active,American,1374.446786
Erie,Active,American,43.98229715
Erie Control,Active,American,367.5663405
Erie Control,Active,American,23.5619449
Erie Control,Active,American,37.69911184
Erie Control,Active,American,212.0575041
Erie Control,Active,American,19.63495408
Erie Control,Active,American,23.5619449
Erie Control,Active,American,593.7610115
Erie Control,Active,American,81.68140899
Maryland,Active,American,340.8628029
Maryland,Active,American,911.0618695
Maryland,Active,American,459.4579256
Maryland,Active,American,452.3893421
Maryland,Active,American,921.2720457
Maryland,Active,American,1738.871534
Maryland,Active,American,777.5441818
Maryland,Active,American,
Maryland Control,Active,American,471.238898
Maryland Control,Active,American,28.27433388
Maryland Control,Active,American,51.83627878
Maryland Control,Active,American,19.63495408
Maryland Control,Active,American,32.98672286
Maryland Control,Active,American,23.5619449
Maryland Control,Active,American,23.5619449
Maryland Control,Active,American,23.5619449
University Park,Active,American,502.6548246
University Park,Active,American,376.9911184
University Park,Active,American,224.6238747
University Park,Active,American,1409.004305
University Park,Active,American,292.1681168
University Park,Active,American,353.4291735
University Park,Active,American,848.2300165
University Park,Active,American,1413.716694
University Park Control,Active,American,28.27433388
University Park Control,Active,American,117.8097245
University Park Control,Active,American,38.48451001
University Park Control,Active,American,23.5619449
University Park Control,Active,American,38.48451001
University Park Control,Active,American,23.5619449
University Park Control,Active,American,23.5619449
University Park Control,Active,American,32.98672286
Erie,Active,Chinese,1079.922475
Erie,Active,Chinese,714.7123287
Erie,Active,Chinese,84.82300165
Erie,Active,Chinese,2375.829444
Erie,Active,Chinese,989.6016859
Erie,Active,Chinese,1589.645883
Erie,Active,Chinese,1204.800783
Erie,Active,Chinese,1138.827337
Erie Control,Active,Chinese,98.96016859
Erie Control,Active,Chinese,549.7787144
Erie Control,Active,Chinese,241.9026343
Erie Control,Active,Chinese,28.27433388
